Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"12v 3a dc power adapter","power from wall",1,3.96,"https://www.aliexpress.us/item/3256804310686214.html?spm=a2g0o.productlist.main.2.12benl3Bnl3BFG&algo_pvid=75ee750d-04d7-40c9-a5e3-a14e26a0b68a&algo_exp_id=75ee750d-04d7-40c9-a5e3-a14e26a0b68a-1&pdp_ext_f=%7B%22order%22%3A%22469%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.61%211.99%21%21%213.61%211.99%21%402101ef5e17754228736135275e846e%2112000029365239086%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000202103300&curPageLogUid=MdXXMNuYa7gr&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004497000966%7C_p_origin_prod%3A","AliExpress"
"barrel jack","power for it",1,0.52,"https://www.aliexpress.us/item/3256809533025500.html?spm=a2g0o.productlist.main.10.377cmbJumbJu9r&algo_pvid=6c5dc46c-e384-4613-8444-69be38332e61&algo_exp_id=6c5dc46c-e384-4613-8444-69be38332e61-9&pdp_ext_f=%7B%22order%22%3A%22295%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.66%210.55%21%21%210.66%210.55%21%402101d49617752637044354764e6f0f%2112000049943941839%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=6GkOHqOFlTp9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009719340252%7C_p_origin_prod%3A","AliExpress"
"resistors (cheaper to buy multi pack than 100 and 5.1k and 1000 separately) 0.25W 300PCS","lamp, maybe speaker",1,2.35,"https://www.aliexpress.us/item/3256810543065216.html?spm=a2g0o.productlist.main.1.654eq0bkq0bk4N&algo_pvid=ed6dd101-b49d-463f-8838-8bdd6ce8475f&algo_exp_id=ed6dd101-b49d-463f-8838-8bdd6ce8475f-0&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.00%212.35%21%21%2134.22%2116.08%21%402101e2b017752635481925916ed151%2112000053333981151%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000203428099&curPageLogUid=BMZ8ht9dccYR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010729379968%7C_p_origin_prod%3A","AliExpress"
"warm white led, 5mm","lamp",1,3.93,"https://www.aliexpress.us/item/3256805142048572.html?spm=a2g0o.productlist.main.13.2ec6Ijs1Ijs1Ea&algo_pvid=9fff1fcb-78f7-48e3-99af-28510a67bc3e&algo_exp_id=9fff1fcb-78f7-48e3-99af-28510a67bc3e-12&pdp_ext_f=%7B%22order%22%3A%222428%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.00%214.38%21%21%217.00%214.38%21%402101d49617752633201054766e6f12%2112000032769816135%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000202103300&curPageLogUid=Mfj7d6aXZRxk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005328363324%7C_p_origin_prod%3A","AliExpress"
"Cold white led, 5mm, 12v 2 pin wire","lamp",1,3.89,"https://www.aliexpress.us/item/3256805142048572.html?spm=a2g0o.productlist.main.13.2ec6Ijs1Ijs1Ea&algo_pvid=9fff1fcb-78f7-48e3-99af-28510a67bc3e&algo_exp_id=9fff1fcb-78f7-48e3-99af-28510a67bc3e-12&pdp_ext_f=%7B%22order%22%3A%222428%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.00%214.38%21%21%217.00%214.38%21%402101d49617752633201054766e6f12%2112000032769816135%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000202103300&curPageLogUid=Mfj7d6aXZRxk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005328363324%7C_p_origin_prod%3A","AliExpress"
"IRLZ44N MOSFET","lights",1,1.53,"https://www.aliexpress.us/item/3256808407962096.html?spm=a2g0o.productlist.main.6.120446cfxRZly0&algo_pvid=1c533ec6-35dd-4d8e-b536-e9d9d1a592be&algo_exp_id=1c533ec6-35dd-4d8e-b536-e9d9d1a592be-5&pdp_ext_f=%7B%22order%22%3A%2285%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.55%211.53%21%21%2110.58%2110.47%21%402103128917752631583885922ebb26%2112000045877656466%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=UdNdFGAZMY4h&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008594276848%7C_p_origin_prod%3A","AliExpress"
"3 watt 4 ohm Speaker","alarm, bluetooth audio",1,1.80,"https://www.aliexpress.us/item/3256805513376202.html?spm=a2g0o.productlist.main.1.4f9360e9XkM05F&algo_pvid=72695af9-4e57-46e5-9f97-a24e97fd435d&algo_exp_id=72695af9-4e57-46e5-9f97-a24e97fd435d-0&pdp_ext_f=%7B%22order%22%3A%228358%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.96%211.92%21%21%2113.41%2113.15%21%4021030a6217752629679106588ea4b7%2112000044410686571%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=RVt7vrjJQ4sX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005699690954%7C_p_origin_prod%3A","AliExpress"
"MAX98357A Audio Amplifier","making it work as a bluetooth speaker",1,1.99,"https://www.aliexpress.us/item/3256807849963452.html?spm=a2g0o.productlist.main.1.61a6WHz9WHz9nA&algo_pvid=bccc893a-f167-4103-82e0-029cc5688c08&algo_exp_id=bccc893a-f167-4103-82e0-029cc5688c08-0&pdp_ext_f=%7B%22order%22%3A%22579%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.47%211.99%21%21%2116.90%2113.62%21%40210328c017752629383007465ebd35%2112000046419659736%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000202103300&curPageLogUid=vCXKEcYw9c9z&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008036278204%7C_p_origin_prod%3A","AliExpress"
"Rotary Encoder  G 15mm Half handle","ui navigation",1,1.43,"https://www.aliexpress.us/item/3256807457768762.html?spm=a2g0o.productlist.main.1.58775f49Ek8uGp&algo_pvid=149065f7-eabf-4f3c-a3c6-3c57ac829d09&algo_exp_id=149065f7-eabf-4f3c-a3c6-3c57ac829d09-0&pdp_ext_f=%7B%22order%22%3A%222505%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.55%211.55%21%21%211.55%211.55%21%40210328d417752628256872278ece5c%2112000041630839415%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895&curPageLogUid=Qi2X18ZCNRzY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007644083514%7C_p_origin_prod%3A","AliExpress"
"ESP32","controlling the project",1,1.99,"https://www.aliexpress.us/item/3256805942117284.html?spm=a2g0o.productlist.main.4.2042766aCUYuYK&aem_p4p_detail=202604031732146134415265872600000827322&algo_pvid=06725ad7-dfc1-4f56-89f4-f2ec40fbf9cb&algo_exp_id=06725ad7-dfc1-4f56-89f4-f2ec40fbf9cb-3&pdp_ext_f=%7B%22order%22%3A%229977%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.87%211.99%21%21%2119.66%2113.64%21%40210328df17752627346632600e8fb1%2112000046958263336%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000202103300&curPageLogUid=U3nKvxSxeArV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006128432036%7C_p_origin_prod%3A&search_p4p_id=202604031732146134415265872600000827322_1","AliExpress"
"0.96"" I2C OLED","Showing time, timer, alarm clock, etc",1,3.05,"https://www.aliexpress.us/item/2255801058009793.html?spm=a2g0o.productlist.main.1.54d2dlrIdlrI3z&algo_pvid=c3532c3b-3940-46b2-b10a-5bcfeba31b99&algo_exp_id=c3532c3b-3940-46b2-b10a-5bcfeba31b99-0&pdp_ext_f=%7B%22order%22%3A%22134%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.72%212.56%21%21%212.72%212.56%21%40210325a917753057120323014e7c85%2110000015440914749%21sea%21US%217284814403%21X%211%210%21n_tag%3A-29911%3Bd%3A65aee796%3Bm03_new_user%3A-29895%3BpisId%3A5000000203423557&curPageLogUid=n624s1SdfOYF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001244324545%7C_p_origin_prod%3A","AliExpress"
